Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,19,813,531,410,45,202,2,80,377,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival,19,813,531,410,45,202,2,80,377,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets,19,813,531,410,45,202,2,80,377,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController,1,44,31,24,1,11,0,2,10,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameController\Scripts,1,44,31,24,1,11,0,2,10,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData,12,179,117,87,6,58,2,4,30,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects,9,74,39,30,0,35,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors,4,33,16,12,0,17,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GActors\Species,1,9,4,3,0,5,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GItems,2,16,8,6,0,8,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\GObjects\GStructures,2,16,8,6,0,8,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\Scripts,3,105,78,57,6,23,2,4,30,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer,3,318,217,165,18,83,0,18,58,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Scripts,1,188,122,88,12,53,0,13,41,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain,2,130,95,77,6,30,0,5,17,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain\Scripts,2,130,95,77,6,30,0,5,17,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Scripts,3,272,166,134,20,50,0,56,279,0,0
